RK                      PLAYER                  TEAM                    GP                      MPG                     AST                     APG                     TO                      TOPG                    AP48M                   AST/TO                  
1                       Russell Westbrook, PG   OKC                     7                       33.3                    83                      11.9                    37                      5.3                     17.1                    2.24                    
2                       John Wall, PG           WSH                     7                       35.1                    68                      9.7                     30                      4.3                     13.3                    2.27                    
3                       James Harden, PG        HOU                     9                       36.1                    83                      9.2                     47                      5.2                     12.3                    1.77                    
4                       LeBron James, SF        CLE                     8                       37.0                    71                      8.9                     36                      4.5                     11.5                    1.97                    
5                       Ben Simmons, PG         PHI                     8                       34.9                    63                      7.9                     26                      3.3                     10.8                    2.42                    
6                       Jeff Teague, PG         MIN                     8                       32.8                    62                      7.8                     27                      3.4                     11.4                    2.30                    
7                       Darren Collison, PG     IND                     8                       31.8                    58                      7.3                     14                      1.8                     11.0                    4.14                    
8                       Draymond Green, PF      GS                      9                       30.4                    65                      7.2                     33                      3.7                     11.4                    1.97                    
9                       Kyle Lowry, PG          TOR                     7                       32.6                    48                      6.9                     13                      1.9                     10.1                    3.69                    
10                      Jerian Grant, PG        CHI                     6                       29.2                    41                      6.8                     11                      1.8                     11.2                    3.73                    
RK                      PLAYER                  TEAM                    GP                      MPG                     AST                     APG                     TO                      TOPG                    AP48M                   AST/TO                  
11                      Dennis Schroder, PG     ATL                     6                       33.0                    40                      6.7                     14                      2.3                     9.7                     2.86                    
12                      Lonzo Ball, PG          LAL                     8                       33.3                    53                      6.6                     22                      2.8                     9.6                     2.41                    
13                      Ricky Rubio, PG         UTAH                    8                       33.8                    52                      6.5                     35                      4.4                     9.2                     1.49                    
14                      Stephen Curry, PG       GS                      9                       33.0                    54                      6.0                     23                      2.6                     8.7                     2.35                    
                        Jrue Holiday, PG        NO                      8                       37.1                    48                      6.0                     24                      3.0                     7.8                     2.00                    
                        Reggie Jackson, PG      DET                     8                       28.8                    48                      6.0                     16                      2.0                     10.0                    3.00                    
                        Kemba Walker, PG        CHA                     8                       34.8                    48                      6.0                     19                      2.4                     8.3                     2.53                    
18                      Damian Lillard, PG      POR                     9                       36.6                    53                      5.9                     28                      3.1                     7.7                     1.89                    
                        DeMarcus Cousins, C     NO                      8                       37.6                    47                      5.9                     44                      5.5                     7.5                     1.07                    
20                      Kyrie Irving, PG        BOS                     8                       33.6                    45                      5.6                     19                      2.4                     8.0                     2.37                    
RK                      PLAYER                  TEAM                    GP                      MPG                     AST                     APG                     TO                      TOPG                    AP48M                   AST/TO                  
                        Jarrett Jack, PG        NY                      5                       25.8                    28                      5.6                     6                       1.2                     10.4                    4.67                    
22                      Spencer Dinwiddie, PG   BKN                     8                       23.0                    43                      5.4                     10                      1.3                     11.2                    4.30                    
23                      Giannis Antetokounmpo, PFMIL                     8                       36.8                    42                      5.3                     26                      3.3                     6.9                     1.62                    
24                      Dennis Smith Jr., PG    DAL                     7                       28.1                    36                      5.1                     25                      3.6                     8.8                     1.44                    
                        D.J. Augustin, PG       ORL                     8                       22.5                    41                      5.1                     10                      1.3                     10.9                    4.10                    
                        De'Aaron Fox, PG        SAC                     8                       27.0                    41                      5.1                     15                      1.9                     9.1                     2.73                    
27                      T.J. McConnell, PG      PHI                     8                       21.6                    40                      5.0                     14                      1.8                     11.1                    2.86                    
                        Nikola Jokic, C         DEN                     8                       31.8                    40                      5.0                     21                      2.6                     7.6                     1.90                    
                        D'Angelo Russell, PG    BKN                     7                       26.4                    35                      5.0                     26                      3.7                     9.1                     1.35                    
                        Marcus Smart, PG        BOS                     6                       29.5                    30                      5.0                     13                      2.2                     8.1                     2.31                    
RK                      PLAYER                  TEAM                    GP                      MPG                     AST                     APG                     TO                      TOPG                    AP48M                   AST/TO                  
31                      Blake Griffin, PF       LAC                     7                       33.6                    33                      4.7                     20                      2.9                     6.7                     1.65                    
                        Kevin Durant, SF        GS                      9                       36.2                    42                      4.7                     32                      3.6                     6.2                     1.31                    
                        Jameer Nelson, PG       NO                      6                       25.7                    28                      4.7                     12                      2.0                     8.7                     2.33                    
                        James Johnson, PF       MIA                     6                       27.8                    28                      4.7                     18                      3.0                     8.0                     1.56                    
35                      Khris Middleton, SF     MIL                     8                       36.0                    37                      4.6                     20                      2.5                     6.2                     1.85                    
                        Shelvin Mack, PG        ORL                     7                       19.0                    32                      4.6                     8                       1.1                     11.5                    4.00                    
                        Tim Frazier, PG         WSH                     7                       14.3                    32                      4.6                     11                      1.6                     15.4                    2.91                    
38                      J.J. Barea, PG          DAL                     9                       22.8                    40                      4.4                     20                      2.2                     9.4                     2.00                    
                        Goran Dragic, PG        MIA                     7                       34.7                    31                      4.4                     15                      2.1                     6.1                     2.07                    
                        Al Horford, PF          BOS                     8                       31.9                    35                      4.4                     19                      2.4                     6.6                     1.84                    
